domain,slug,page_id,kind,source_url,local_path
care,lab-diagnostics,48595619,external,https://loom.com/i/e92ad530463c4cd79dfbd533f5515957?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/01-loom.jpg
care,lab-diagnostics,48595619,external,https://loom.com/i/3af38d6d043c45fa8c46b653820fc95e?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/02-loom.jpg
care,lab-diagnostics,48595619,external,https://loom.com/i/7c2f83869e4341958098f5ff6f0ea111?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/03-loom.jpg
care,lab-diagnostics,48595619,external,https://loom.com/i/74f561ab37444b05b2604f4b09c9656e?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/04-loom.jpg
care,lab-diagnostics,48595619,external,https://loom.com/i/05432f9325d34271bc426b634eb26046?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/05-loom.jpg
care,lab-diagnostics,48595619,external,https://loom.com/i/a4e22291a08146ed9596c8190a69ae92?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/06-loom.jpg
care,lab-diagnostics,48595619,external,https://loom.com/i/7ff1ad0089554c52ba0b6c899163a51d?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/07-loom.jpg
care,lab-diagnostics,48595582,external,https://loom.com/i/4c7e84cdde754e27b8b0d3a6df08c309?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/08-loom.jpg
care,lab-diagnostics,48595582,external,https://loom.com/i/3a997b0fb6ef4f9cb9638478d6604693?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/09-loom.jpg
care,lab-diagnostics,48595582,external,https://loom.com/i/5dcac6455771440d8767aa4a949536f2?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/10-loom.jpg
care,lab-diagnostics,48595582,external,https://loom.com/i/8ef273d6acf94d8783d0402a051991e3?workflows_screenshot=true,static/img/playbooks/care/lab-diagnostics/11-loom.jpg
